Crash,Ticker,Cumulative Return
Crash 1,VGT,1.093628
Crash 1,VDC,1.091747
Crash 1,XLP,1.079044
Crash 2,XLF,1.961619
Crash 2,VGT,1.86854
Crash 2,VHT,1.86854
Crash 3,VHT,1.500701
Crash 3,VGT,1.500701
Crash 3,VCR,1.474662
