Date,Close
1/3/2006,52.92
1/4/2006,52.96
1/5/2006,52.99
1/6/2006,53.43
1/9/2006,53.92
1/10/2006,54.02
1/11/2006,54.19
1/12/2006,53.89
1/13/2006,53.89
1/17/2006,53.46
1/18/2006,53.28
1/19/2006,53.75
1/20/2006,52.9
1/23/2006,52.83
1/24/2006,53.33
1/25/2006,53.24
1/26/2006,53.55
1/27/2006,53.78
1/30/2006,53.69
1/31/2006,53.5
2/1/2006,53.69
2/2/2006,53.46
2/3/2006,53.23
2/6/2006,53.23
2/7/2006,52.9
2/8/2006,53.35
2/9/2006,53.42
2/10/2006,53.54
2/13/2006,53.26
2/14/2006,53.8
2/15/2006,54.08
2/16/2006,54.27
2/17/2006,53.93
2/21/2006,53.61
2/22/2006,54.1
2/23/2006,53.97
2/24/2006,53.76
2/27/2006,54.35
2/28/2006,53.74
3/1/2006,54.13
3/2/2006,53.91
3/3/2006,53.87
3/6/2006,53.59
3/7/2006,53.27
3/8/2006,53.27
3/9/2006,53.15
3/10/2006,53.56
3/13/2006,53.54
3/14/2006,54.08
3/15/2006,54.34
3/16/2006,54.58
3/17/2006,54.65
3/20/2006,54.63
3/21/2006,54.32
3/22/2006,54.5
3/23/2006,54.65
3/24/2006,54.61
3/27/2006,54.66
3/28/2006,54.37
3/29/2006,54.8
3/30/2006,54.68
3/31/2006,54.6
4/3/2006,54.34
4/4/2006,54.62
4/5/2006,54.97
4/6/2006,55.21
4/7/2006,54.91
4/10/2006,54.68
4/11/2006,54.3
4/12/2006,54.18
4/13/2006,54.31
4/17/2006,54.08
4/18/2006,54.8
4/19/2006,54.82
4/20/2006,54.93
4/21/2006,54.54
4/24/2006,54.35
4/25/2006,54.33
4/26/2006,54.59
4/27/2006,55.04
4/28/2006,55
5/1/2006,54.69
5/2/2006,54.8
5/3/2006,54.86
5/4/2006,55.16
5/5/2006,55.75
5/8/2006,55.86
5/9/2006,55.96
5/10/2006,55.95
5/11/2006,55.29
5/12/2006,54.78
5/15/2006,54.69
5/16/2006,54.48
5/17/2006,53.81
5/18/2006,53.75
5/19/2006,54.07
5/22/2006,53.55
5/23/2006,53.24
5/24/2006,53.12
5/25/2006,53.56
5/26/2006,53.94
5/30/2006,53.16
5/31/2006,53.54
6/1/2006,54.45
6/2/2006,54.2
6/5/2006,53.32
6/6/2006,53.02
6/7/2006,53.12
6/8/2006,52.92
6/9/2006,52.8
6/12/2006,52.11
6/13/2006,51.52
6/14/2006,51.5
6/15/2006,52.91
6/16/2006,52.73
6/19/2006,52.43
6/20/2006,52.24
6/21/2006,52.71
6/22/2006,52.5
6/23/2006,52.52
6/26/2006,52.63
6/27/2006,51.98
6/28/2006,51.98
6/29/2006,53.12
6/30/2006,53.33
7/5/2006,52.8
7/6/2006,52.75
7/7/2006,52.32
7/10/2006,52.43
7/11/2006,52.36
7/12/2006,51.52
7/13/2006,50.65
7/14/2006,50.04
7/17/2006,50.33
7/18/2006,49.97
7/19/2006,51.01
7/20/2006,50.25
7/21/2006,49.8
7/24/2006,50.84
7/25/2006,51.32
7/26/2006,50.73
7/27/2006,50.43
7/28/2006,51.08
7/31/2006,51.09
8/1/2006,50.44
8/2/2006,50.96
8/3/2006,51.35
8/4/2006,51.3
8/7/2006,51.11
8/8/2006,50.65
8/9/2006,50
8/10/2006,50.66
8/11/2006,50.57
8/14/2006,50.76
8/15/2006,51.55
8/16/2006,52.2
8/17/2006,52.53
8/18/2006,52.41
8/21/2006,51.95
8/22/2006,51.87
8/23/2006,51.52
8/24/2006,51.12
8/25/2006,51.14
8/28/2006,51.62
8/29/2006,52
8/30/2006,52.11
8/31/2006,52.33
9/1/2006,52.76
9/5/2006,52.85
9/6/2006,52.29
9/7/2006,52.23
9/8/2006,52.76
9/11/2006,53.13
9/12/2006,54.48
9/13/2006,54.6
9/14/2006,54.58
9/15/2006,54.69
9/18/2006,54.46
9/19/2006,54.48
9/20/2006,55.04
9/21/2006,54.63
9/22/2006,54.5
9/25/2006,55.47
9/26/2006,55.81
9/27/2006,55.68
9/28/2006,55.76
9/29/2006,55.42
10/2/2006,55.43
10/3/2006,55.94
10/4/2006,56.81
10/5/2006,57.04
10/6/2006,56.92
10/9/2006,57.26
10/10/2006,57.54
10/11/2006,57.37
10/12/2006,58.15
10/13/2006,58.12
10/16/2006,58.26
10/17/2006,57.86
10/18/2006,57.96
10/19/2006,57.9
10/20/2006,57.84
10/23/2006,58.39
10/24/2006,58.62
10/25/2006,58.52
10/26/2006,59.34
10/27/2006,58.78
10/30/2006,59.03
10/31/2006,59
11/1/2006,58.36
11/2/2006,58.27
11/3/2006,57.92
11/6/2006,58.8
11/7/2006,58.9
11/8/2006,59.28
11/9/2006,58.99
11/10/2006,59.31
11/13/2006,59.36
11/14/2006,60.07
11/15/2006,60.38
11/16/2006,60.65
11/17/2006,60.49
11/20/2006,60.39
11/21/2006,60.44
11/22/2006,60.7
11/27/2006,59.53
11/28/2006,59.45
11/29/2006,59.97
11/30/2006,60.03
12/1/2006,59.9
12/4/2006,60.78
12/5/2006,61.12
12/6/2006,61.07
12/7/2006,60.91
12/8/2006,60.99
12/11/2006,61.07
12/12/2006,60.8
12/13/2006,61.01
12/14/2006,61.54
12/15/2006,61.38
12/18/2006,60.72
12/19/2006,60.77
12/20/2006,60.88
12/21/2006,60.52
12/22/2006,60.46
12/26/2006,60.67
12/27/2006,61.13
12/28/2006,61.06
12/29/2006,60.8
1/3/2007,60.92
1/4/2007,61.14
1/5/2007,60.58
1/8/2007,60.62
1/9/2007,60.93
1/10/2007,61.41
1/11/2007,62.2
1/12/2007,62.37
1/16/2007,62.45
1/17/2007,62.47
1/18/2007,62.78
1/19/2007,62.78
1/22/2007,62.43
